country_name,hdi_category,indicator_name,values
Iceland,HIGH HUMAN DEVELOPMENT,HDI rank,1
Norway,HIGH HUMAN DEVELOPMENT,HDI rank,2
Australia,HIGH HUMAN DEVELOPMENT,HDI rank,3
Canada,HIGH HUMAN DEVELOPMENT,HDI rank,4
Ireland,HIGH HUMAN DEVELOPMENT,HDI rank,5
Sweden,HIGH HUMAN DEVELOPMENT,HDI rank,6
Switzerland,HIGH HUMAN DEVELOPMENT,HDI rank,7
Japan,HIGH HUMAN DEVELOPMENT,HDI rank,8
Netherlands,HIGH HUMAN DEVELOPMENT,HDI rank,9
France,HIGH HUMAN DEVELOPMENT,HDI rank,10
Finland,HIGH HUMAN DEVELOPMENT,HDI rank,11
United States,HIGH HUMAN DEVELOPMENT,HDI rank,12
Spain,HIGH HUMAN DEVELOPMENT,HDI rank,13
Denmark,HIGH HUMAN DEVELOPMENT,HDI rank,14
Austria,HIGH HUMAN DEVELOPMENT,HDI rank,15
United Kingdom,HIGH HUMAN DEVELOPMENT,HDI rank,16
Belgium,HIGH HUMAN DEVELOPMENT,HDI rank,17
Luxembourg,HIGH HUMAN DEVELOPMENT,HDI rank,18
New Zealand,HIGH HUMAN DEVELOPMENT,HDI rank,19
Italy,HIGH HUMAN DEVELOPMENT,HDI rank,20
"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,HDI rank,21
Germany,HIGH HUMAN DEVELOPMENT,HDI rank,22
Israel,HIGH HUMAN DEVELOPMENT,HDI rank,23
Greece,HIGH HUMAN DEVELOPMENT,HDI rank,24
Singapore,HIGH HUMAN DEVELOPMENT,HDI rank,25
Korea (Republic of),HIGH HUMAN DEVELOPMENT,HDI rank,26
Slovenia,HIGH HUMAN DEVELOPMENT,HDI rank,27
Cyprus,HIGH HUMAN DEVELOPMENT,HDI rank,28
Portugal,HIGH HUMAN DEVELOPMENT,HDI rank,29
Brunei Darussalam,HIGH HUMAN DEVELOPMENT,HDI rank,30
Barbados,HIGH HUMAN DEVELOPMENT,HDI rank,31
Czech Republic,HIGH HUMAN DEVELOPMENT,HDI rank,32
Kuwait,HIGH HUMAN DEVELOPMENT,HDI rank,33
Malta,HIGH HUMAN DEVELOPMENT,HDI rank,34
Qatar,HIGH HUMAN DEVELOPMENT,HDI rank,35
Hungary,HIGH HUMAN DEVELOPMENT,HDI rank,36
Poland,HIGH HUMAN DEVELOPMENT,HDI rank,37
Argentina,HIGH HUMAN DEVELOPMENT,HDI rank,38
United Arab Emirates,HIGH HUMAN DEVELOPMENT,HDI rank,39
Chile,HIGH HUMAN DEVELOPMENT,HDI rank,40
Bahrain,HIGH HUMAN DEVELOPMENT,HDI rank,41
Slovakia,HIGH HUMAN DEVELOPMENT,HDI rank,42
Lithuania,HIGH HUMAN DEVELOPMENT,HDI rank,43
Estonia,HIGH HUMAN DEVELOPMENT,HDI rank,44
Latvia,HIGH HUMAN DEVELOPMENT,HDI rank,45
Uruguay,HIGH HUMAN DEVELOPMENT,HDI rank,46
Croatia,HIGH HUMAN DEVELOPMENT,HDI rank,47
Costa Rica,HIGH HUMAN DEVELOPMENT,HDI rank,48
Bahamas,HIGH HUMAN DEVELOPMENT,HDI rank,49
Seychelles,HIGH HUMAN DEVELOPMENT,HDI rank,50
Cuba,HIGH HUMAN DEVELOPMENT,HDI rank,51
Mexico,HIGH HUMAN DEVELOPMENT,HDI rank,52
Bulgaria,HIGH HUMAN DEVELOPMENT,HDI rank,53
Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,HDI rank,54
Tonga,HIGH HUMAN DEVELOPMENT,HDI rank,55
Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,HDI rank,56
Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,HDI rank,57
Oman,HIGH HUMAN DEVELOPMENT,HDI rank,58
Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,HDI rank,59
Romania,HIGH HUMAN DEVELOPMENT,HDI rank,60
Saudi Arabia,HIGH HUMAN DEVELOPMENT,HDI rank,61
Panama,HIGH HUMAN DEVELOPMENT,HDI rank,62
Malaysia,HIGH HUMAN DEVELOPMENT,HDI rank,63
Belarus,HIGH HUMAN DEVELOPMENT,HDI rank,64
Mauritius,HIGH HUMAN DEVELOPMENT,HDI rank,65
Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,HDI rank,66
Russian Federation,HIGH HUMAN DEVELOPMENT,HDI rank,67
Albania,HIGH HUMAN DEVELOPMENT,HDI rank,68
Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,HDI rank,69
Brazil,HIGH HUMAN DEVELOPMENT,HDI rank,70
Dominica,MEDIUM HUMAN DEVELOPMENT,HDI rank,71
Saint Lucia,MEDIUM HUMAN DEVELOPMENT,HDI rank,72
Kazakhstan,MEDIUM HUMAN DEVELOPMENT,HDI rank,73
Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,HDI rank,74
Colombia,MEDIUM HUMAN DEVELOPMENT,HDI rank,75
Ukraine,MEDIUM HUMAN DEVELOPMENT,HDI rank,76
Samoa,MEDIUM HUMAN DEVELOPMENT,HDI rank,77
Thailand,MEDIUM HUMAN DEVELOPMENT,HDI rank,78
Dominican Republic,MEDIUM HUMAN DEVELOPMENT,HDI rank,79
Belize,MEDIUM HUMAN DEVELOPMENT,HDI rank,80
China,MEDIUM HUMAN DEVELOPMENT,HDI rank,81
Grenada,MEDIUM HUMAN DEVELOPMENT,HDI rank,82
Armenia,MEDIUM HUMAN DEVELOPMENT,HDI rank,83
Turkey,MEDIUM HUMAN DEVELOPMENT,HDI rank,84
Suriname,MEDIUM HUMAN DEVELOPMENT,HDI rank,85
Jordan,MEDIUM HUMAN DEVELOPMENT,HDI rank,86
Peru,MEDIUM HUMAN DEVELOPMENT,HDI rank,87
Lebanon,MEDIUM HUMAN DEVELOPMENT,HDI rank,88
Ecuador,MEDIUM HUMAN DEVELOPMENT,HDI rank,89
Philippines,MEDIUM HUMAN DEVELOPMENT,HDI rank,90
Tunisia,MEDIUM HUMAN DEVELOPMENT,HDI rank,91
Fiji,MEDIUM HUMAN DEVELOPMENT,HDI rank,92
Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,HDI rank,93
Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,HDI rank,94
Paraguay,MEDIUM HUMAN DEVELOPMENT,HDI rank,95
Georgia,MEDIUM HUMAN DEVELOPMENT,HDI rank,96
Guyana,MEDIUM HUMAN DEVELOPMENT,HDI rank,97
Azerbaijan,MEDIUM HUMAN DEVELOPMENT,HDI rank,98
Sri Lanka,MEDIUM HUMAN DEVELOPMENT,HDI rank,99
Maldives,MEDIUM HUMAN DEVELOPMENT,HDI rank,100
Jamaica,MEDIUM HUMAN DEVELOPMENT,HDI rank,101
Cape Verde,MEDIUM HUMAN DEVELOPMENT,HDI rank,102
El Salvador,MEDIUM HUMAN DEVELOPMENT,HDI rank,103
Algeria,MEDIUM HUMAN DEVELOPMENT,HDI rank,104
Viet Nam,MEDIUM HUMAN DEVELOPMENT,HDI rank,105
Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,HDI rank,106
Indonesia,MEDIUM HUMAN DEVELOPMENT,HDI rank,107
Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,HDI rank,108
Turkmenistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,109
Nicaragua,MEDIUM HUMAN DEVELOPMENT,HDI rank,110
Moldova,MEDIUM HUMAN DEVELOPMENT,HDI rank,111
Egypt,MEDIUM HUMAN DEVELOPMENT,HDI rank,112
Uzbekistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,113
Mongolia,MEDIUM HUMAN DEVELOPMENT,HDI rank,114
Honduras,MEDIUM HUMAN DEVELOPMENT,HDI rank,115
Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,HDI rank,116
Bolivia,MEDIUM HUMAN DEVELOPMENT,HDI rank,117
Guatemala,MEDIUM HUMAN DEVELOPMENT,HDI rank,118
Gabon,MEDIUM HUMAN DEVELOPMENT,HDI rank,119
